name,price,rating,category,number of reviews,type,Distance from Downtown
HOTEL MYSTAYS Asakusa,US$383,7.6,Good,"1,115 reviews",Standard Double Room with Small Double Bed - Smoking - House Keeping is Optional with Additional Cost,6.4 km from downtown
Hotel Marutani,US$391,7.3,Good,412 reviews,Japanese-Style Single Room - Smoking,4.9 km from downtown
Toyoko Inn Tokyo Otemachi,US$429,8.1,Very Good,190 reviews,Superior Single Room - Smoking,3.4 km from downtown
Juyoh Hotel,US$182,8.1,Very Good,"1,768 reviews",Japanese-Style Standard Single Room with Shared Bathroom,7.9 km from downtown
HOTEL HOUSE LEE,US$313,8.6,Excellent,458 reviews,Twin Room,3.3 km from downtown
Akasaka Urban Hotel,US$444,8.0,Very Good,425 reviews,Single Room - Non-Smoking,1.8 km from downtown
APA Hotel & Resort Roppongi Ekihigashi,US$471,8.4,Very Good,"4,950 reviews",Single Room,2.8 km from downtown
Tora Hotel Asakusa,US$159,8.4,Very Good,"1,119 reviews",Bunk Bed in Mixed Dormitory Room,6.9 km from downtown
Smile Hotel Tokyo Nishikasai,US$325,6.6,Review score,"1,566 reviews",Economy Single Room - Non-Smoking,11.8 km from downtown
Hotel Listel Shinjuku,US$414,7.1,Good,"1,066 reviews",Single Room,1.8 km from downtown
Toyoko Inn Tokyo Akabane-eki Higashi-guchi,US$355,8.1,Very Good,"1,848 reviews",Standard Single Room - Smoking,10.5 km from downtown
Keio Presso Inn Otemachi,US$547,7.9,Good,"1,718 reviews",Single Room - Smoking,3.7 km from downtown
Comfort Hotel Tokyo Kanda,US$511,8.2,Very Good,792 reviews,Standard Single Room - Non-Smoking,4.1 km from downtown
Toyoko Inn Tokyo Shinagawa Aomono-yokocho-eki,US$381,7.5,Good,808 reviews,Double Room for Single Use - Smoking,8.6 km from downtown
remm Roppongi,US$562,8.4,Very Good,"2,771 reviews",Economy Double Room - 1 adult - Non-Smoking,2.5 km from downtown
Sotetsu Fresa Inn Ueno-Okachimachi,US$519,8.4,Very Good,"2,579 reviews",Single Room - Non-Smoking,4.6 km from downtown
Okachimachi Urban Hotel,US$498,8.5,Very Good,737 reviews,Single Room,4.4 km from downtown
Tokyo Plaza Hotel,US$407,7.3,Good,358 reviews,Double Room,3.3 km from downtown
R&B Hotel Higashi Nihonbashi,US$318,7.5,Good,316 reviews,Single Room - Smoking,5.1 km from downtown
APA Hotel Nishiazabu,US$400,6.8,Review score,"2,294 reviews",Single Room - Non-Smoking,3.3 km from downtown
APA Hotel Omori Ekimae,US$408,8.3,Very Good,"2,658 reviews",Standard Room - Non-Smoking (1 Adult),10.7 km from downtown
Tokyo Guest House Itabashi-juku,US$140,8.5,Very Good,924 reviews,Bunk Bed in 20-Bed Mixed Dormitory Room - Ground Floor,8.3 km from downtown
Hotel Residence Asakusa by unito,US$320,9.0,Wonderful,5 reviews,Double Room,6.6 km from downtown
APA Hotel Nihombashi Bakurocho Ekimae,US$408,8.4,Very Good,"2,283 reviews",Single Room - Non-Smoking,4.8 km from downtown
Business Capsule Hotel Lightning Hotel Asakusa,US$178,7.8,Good,"1,119 reviews",Capsule Room for Male,6.3 km from downtown
Toyoko Inn Tokyo Nihombashi Hamacho Meijiza Mae,US$362,7.6,Good,294 reviews,Single Room - Smoking,5.1 km from downtown
APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,US$508,8.1,Very Good,"4,900 reviews",Single Room - Non-Smoking,4.2 km from downtown
House Ikebukuro,US$342,8.5,Very Good,"1,587 reviews",Single Room,5.6 km from downtown
Keio Presso Inn Hamamatsucho,US$494,8.1,Very Good,"1,268 reviews",Standard Single Room - Smoking,3.6 km from downtown
APA Hotel Suidobashi Ekimae,US$518,N/A,N/A,N/A,Standard Room (for 1 Adult) - Non-Smoking,2.8 km from downtown
Sotetsu Fresa Inn Tokyo Tamachi,US$450,8.3,Very Good,"1,840 reviews",Single Room - Non-Smoking - Annex,5.1 km from downtown
Smart Stay SHIZUKU Shinagawa-Oimachi,US$245,8.2,Very Good,761 reviews,Capsule Room for Male,8.7 km from downtown
Hotel Asia Center of Japan,US$549,8.6,Excellent,"2,757 reviews",Standard Double Room - Non-Smoking,1.7 km from downtown
APA Hotel Ginza Shintomicho Ekimae,US$418,7.3,Good,"1,077 reviews",Single Room - Non-Smoking,4.3 km from downtown
Toyoko Inn Tokyo Yamanote sen Otsuka eki Kita guchi No 2,US$368,8.0,Very Good,517 reviews,Single Room - Smoking,5.2 km from downtown
Hotel Sunroute Ginza,US$649,8.2,Very Good,"2,280 reviews",Semi Double Room - Non-Smoking,3.9 km from downtown
Almont Inn Tokyo Nihonbashi,US$450,8.7,Excellent,397 reviews,Single Room - Non-Smoking,4.8 km from downtown
Keio Presso Inn Gotanda,US$464,8.0,Very Good,817 reviews,Single Room - Smoking,6.7 km from downtown
Keio Presso Inn Tokyo Kudanshita,US$536,7.9,Good,606 reviews,Single Room - Non-Smoking,2.4 km from downtown
Hotel Rilassare Tokyo,US$512,8.8,Excellent,870 reviews,Small Single Room,4.3 km from downtown
HOTEL TAVINOS Hamamatsucho,US$512,8.2,Very Good,"1,139 reviews",Double Room - Non-Smoking,4.6 km from downtown
MUJI HOTEL GINZA,"US$1,103",9.1,Wonderful,"3,603 reviews",Small Double Room - Type A - Non Smoking,3.5 km from downtown
9h nine hours woman Shinjuku sleep lab,US$275,7.8,Good,"3,427 reviews",Special Offer - Capsule Room for Female - Sleep Report Included,2 km from downtown
Washington R&BHotel TokyoToyocho,US$363,7.9,Good,564 reviews,Single Room - Non-Smoking,8.4 km from downtown
Tabist Hotel Aurora Ikebukuro,US$285,6.3,Review score,472 reviews,Double Room - Non-Smoking,5.6 km from downtown
Sotetsu Fresa Inn Kanda-Otemachi,US$509,8.5,Very Good,"3,324 reviews",Single Room - Non-Smoking,3.5 km from downtown
APA Hotel Ginza Takaracho Tokyo Eki Yaesu Minamiguchi,US$531,7.5,Good,"1,994 reviews",Single Room - Non-Smoking,4 km from downtown
Shinbashi Urban Hotel,US$536,7.8,Good,612 reviews,Single Room A,3.1 km from downtown
HOTEL MYSTAYS Kanda,US$467,8.0,Very Good,751 reviews,Standard  Double Room - Non-Smoking,4.2 km from downtown
Web Hotel Tokyo Asakusabashi,US$327,8.5,Very Good,155 reviews,Single Room - Non-Smoking - No Daily Cleaning,5.5 km from downtown
CITAN Hostel,US$244,8.8,Excellent,"2,533 reviews",Bed in 8-Bed Mixed Dormitory Room,4.7 km from downtown
APA Hotel Ginza Shintomicho Ekimae Kita,US$469,8.2,Very Good,"1,493 reviews",Single Room - Non-Smoking,4.3 km from downtown
Tokyo Grand Hotel,US$396,8.0,Very Good,269 reviews,Single Room - Non-Smoking,4.2 km from downtown
APA Hotel Ochanomizu Ekikita,US$449,7.8,Good,"2,590 reviews",Single Room - Non-Smoking,3.9 km from downtown
Hotel Villa Fontaine Tokyo-Nihombashi Hakozaki,US$476,7.6,Good,460 reviews,Room Selected at Check-In,5.1 km from downtown
Hotel Villa Fontaine Grand Tokyo-Roppongi,US$711,8.4,Very Good,"1,896 reviews",Double Room (20sqm),2.6 km from downtown
APA Hotel Higashi Shinjuku Kabukicho,US$503,7.8,Good,"1,619 reviews",Single Room - Non-Smoking,2.6 km from downtown
Hotel Intergate Tokyo Kyobashi,US$591,8.5,Very Good,"3,444 reviews",Single Room - Smoking,3.9 km from downtown
APA Hotel Hatchobori Ekimae,US$474,8.5,Very Good,709 reviews,Single Room,4.5 km from downtown
APA Hotel Asakusabashi Ekimae,US$461,8.3,Very Good,"2,738 reviews",Standard Single Room for 1 people - Non-Smoking,5.2 km from downtown
Guesthouse toco,US$254,9.1,Wonderful,738 reviews,Bunk Bed in Mixed Dormitory Room,6.3 km from downtown
APA Hotel Hatchobori Shintomicho,US$418,7.7,Good,897 reviews,Single Room - Non-Smoking,4.4 km from downtown
Hotel SUI Ginza Kyobashi by ABEST,US$447,7.8,Good,645 reviews,Single Room with Bathroom,3.9 km from downtown
ALFIT HOTEL & BAR AKASAKA,US$684,8.4,Very Good,617 reviews,Standard Double Room,1.6 km from downtown
Hotel Sunroute Plaza Shinjuku,US$880,8.5,Very Good,"11,498 reviews",Economy Double Room - Non-Smoking,2.8 km from downtown
Joe Backpackers,US$194,N/A,N/A,N/A,Twin Room with Shared Bathroom,8 km from downtown
UNPLAN Shinjuku,US$328,8.3,Very Good,"3,460 reviews",Bunk Bed in Mixed Dormitory Room,1.9 km from downtown
APA Hotel Keisei Ueno Ekimae,US$510,7.8,Good,"6,261 reviews",Single Room - Non-Smoking,4.8 km from downtown
Henn na Hotel Tokyo Akasaka,US$523,8.3,Very Good,"2,391 reviews",Double Room with Small Double Bed - (LG Styler) - Non-Smoking,1.8 km from downtown
APA Hotel Ueno Inaricho Ekikita,US$431,8.3,Very Good,"2,836 reviews",Standard Room - Non-Smoking (1 Adult),5.7 km from downtown
APA Hotel Asakusa Shin Okachimachi Ekimae,US$441,8.4,Very Good,"3,301 reviews",Standard Single Room - Non-Smoking,5.3 km from downtown
FLEXSTAY INN Shirogane,US$353,7.5,Good,524 reviews,Single Room - Smoking - House Keeping is Optional with Additional Cost,4.6 km from downtown
Rose Stay Tokyo Shiba Park,US$476,8.0,Very Good,"1,381 reviews",Standard Single Room,4.2 km from downtown
Hotel Monte Hermana Tokyo,US$739,8.5,Very Good,"3,067 reviews",Single Room,3.8 km from downtown
Shibuya Granbell Hotel,US$732,7.8,Good,"1,084 reviews",Single Room - Non-Smoking,4.2 km from downtown
LANDABOUT TOKYO,US$622,8.7,Excellent,"3,515 reviews",Compact Double Room,6.1 km from downtown
Hotel Villa Fontaine Tokyo-Ueno Okachimachi,US$493,8.0,Very Good,447 reviews,Run of House - Non-Smoking,5.2 km from downtown
A16 HOSTEL TOKYO,US$178,8.2,Very Good,616 reviews,Bunk Bed in Mixed Dormitory Room,5.4 km from downtown
Akasaka Urban Hotel Annex,US$462,8.2,Very Good,806 reviews,Single Room - Non-Smoking,2 km from downtown
APA Hotel Mita Ekimae,US$461,7.4,Good,"1,182 reviews",Single Room - Non-Smoking,4.6 km from downtown
Kamata Inn Social,US$371,8.0,Very Good,795 reviews,Single Room,13.7 km from downtown
Tosei Hotel Cocone Kanda,US$546,8.2,Very Good,"2,761 reviews",Double Room with Small Double Bed - Smoking,3.6 km from downtown
Toyoko Inn Tokyo Haneda Airport No.2,US$403,8.2,Very Good,"3,491 reviews",Superior Single Room - Non-Smoking,14.9 km from downtown
Sotetsu Fresa Inn Tokyo Roppongi,US$517,8.1,Very Good,"2,780 reviews",Single Room - Non-Smoking,2.5 km from downtown
"Tokyo Shibya 88 Shared House ""produced by KEST""",US$182,8.2,Very Good,14 reviews,Single Room,4.7 km from downtown
Akasaka Guesthouse HIVE,US$211,8.5,Very Good,715 reviews,Bunk Bed in Mixed Dormitory Room,1.8 km from downtown
plat hostel keikyu asakusa station,US$126,8.3,Very Good,770 reviews,Bunk Bed in Female Dormitory Room,6.3 km from downtown
plat hostel keikyu asakusa karin,US$117,8.7,Excellent,828 reviews,Bunk Bed in Mixed Dormitory Room,6.7 km from downtown
Hotel Residence Ohashi Kaikan Tokyo Shibuya,US$341,7.1,Good,441 reviews,Small Double Room,5.5 km from downtown
Kadoya Hotel,US$604,8.4,Very Good,"1,163 reviews",Single Non-Smoking,3 km from downtown
Hotel Plus Hostel TOKYO ASAKUSA 1,US$173,8.0,Very Good,"1,610 reviews",Single Bed in Male Dormitory Room,6.5 km from downtown
Guest House Tokyo Samurai,US$136,8.3,Very Good,"1,341 reviews",Bunk Bed in Mixed Dormitory Room,6.5 km from downtown
Hotel Residence unito TOKYO KIKUKAWA,US$321,7.7,Good,350 reviews,Standard Single Room,6.9 km from downtown
Yoroi Asakusa Hotel,US$224,8.6,Excellent,108 reviews,Bunk Bed in Mixed Dormitory Room,6.6 km from downtown
Tokyo SA Ryokan,US$151,8.1,Very Good,403 reviews,Single Room with Shared Shower and Toilet,7.9 km from downtown
APA Hotel Komagome Ekimae,US$406,8.3,Very Good,"1,875 reviews",Standard Single Room,6 km from downtown
ksf池袋本町4丁目,"US$19,850",N/A,N/A,N/A,Standard Family Room,6.7 km from downtown
ksf上池袋3丁目302,"US$11,910",N/A,N/A,N/A,One-Bedroom Apartment,5.9 km from downtown
Hostel Wasabi Asakusa,US$155,8.3,Very Good,"1,128 reviews",Bunk Bed in Male Dormitory Room,6.9 km from downtown
Hotel Horidome Villa,US$413,7.8,Good,685 reviews,Single Room,4.6 km from downtown
KYU KYU HOTEL,US$288,8.3,Very Good,577 reviews,Economy Double Room,7.1 km from downtown
ゲストハウス高円寺純情ホテル -Guest House Koenji Junjo Hotel-,US$209,7.9,Good,217 reviews,Single Room,7.2 km from downtown
Hotel Apreton,US$420,8.7,Excellent,728 reviews,Single Room,5.2 km from downtown
Nui. HOSTEL & BAR LOUNGE,US$244,8.8,Excellent,"1,544 reviews",Bunk Bed in Mixed Dormitory Room for 8 people,6.1 km from downtown
Shibuya Tokyu REI Hotel,US$791,8.3,Very Good,"2,470 reviews",Superior Double Room,3.8 km from downtown
Hostel JAZ,US$312,7.8,Good,"1,477 reviews",Single Bed in Male Dormitory Room,5.9 km from downtown
Almont Hotel Nippori,US$551,9.0,Wonderful,"1,063 reviews",Single Room,6.2 km from downtown
Hotel Gracery Shinjuku,"US$1,003",8.3,Very Good,"9,275 reviews",Double Room - Non-Smoking,2.7 km from downtown
Base Inn Uguisudani,US$104,8.4,Very Good,602 reviews,Bunk Bed in Mixed Dormitory Room,6.1 km from downtown
APA Hotel Ueno Hirokoji,US$424,8.3,Very Good,"2,471 reviews",Standard Single Room,4.4 km from downtown
APA Hotel Shinjuku Kabukicho Chuo,US$641,8.0,Very Good,"2,665 reviews",Standard Single Room - Non-Smoking,2.6 km from downtown
Sotetsu Fresa Inn Shimbashi-Karasumoriguchi,US$582,7.9,Good,"2,589 reviews",Superior Single Room - Smoking,3.4 km from downtown
ビジネスホテル韓国館,US$232,7.6,Good,699 reviews,Single Room,5.8 km from downtown
Super Hotel Tokyo Nihombashi Mitsukoshimae,US$462,8.5,Very Good,125 reviews,Room Selected at Check-In - Non-Smoking,4.5 km from downtown
almond hostel & cafe Shibuya,US$242,7.7,Good,"1,127 reviews",Bunk Bed in Mixed Dormitory Room,4.2 km from downtown
Super Hotel Shinagawa Shinbanba,US$439,8.3,Very Good,924 reviews,Double Room - Non-Smoking,7.7 km from downtown
APA Hotel Tokyo Nishikasai Ekimae,US$380,8.6,Excellent,45 reviews,Standard Room (for 1 Adult) - Non-Smoking,12 km from downtown
LYURO Tokyo Kiyosumi by THE SHARE HOTELS,US$229,8.7,Excellent,"2,037 reviews",Bunk Bed in Mixed Dormitory Room,5.7 km from downtown
Toshi Center Hotel,US$594,8.5,Very Good,"3,725 reviews",Single Room - Non-Smoking,1 km from downtown
Super Hotel Tokyo Kinshicho Ekimae,US$503,8.3,Very Good,"2,654 reviews",Economy Double Room,7.5 km from downtown
Hotel P'sResort Adults only 大人専用,US$477,7.4,Good,253 reviews,Double Room,5.2 km from downtown
Rembrandt Cabin & Spa Shimbashi - Caters to Men,US$249,8.0,Very Good,815 reviews,Capsule Room for Male (Upper Floor),3.2 km from downtown
Glansit Akihabara,US$377,8.2,Very Good,462 reviews,Standard Capsule Room for Female,4.2 km from downtown
Hotel Plus Hostel TOKYO ASAKUSA 2,US$173,7.4,Good,908 reviews,Bunk Bed in Mixed Dormitory Room,6.9 km from downtown
WashingtonR&B Hotel Kamata Higashiguchi,US$323,7.5,Good,410 reviews,Single Room - Non-Smoking,13.7 km from downtown
"Men Only Capsule Room & Sauna, Bathhouse, gim 男性専用サウナ&カプセル Minami Gakugeidai",US$198,7.8,Good,55 reviews,Single Room with Shared Bathroom,7.4 km from downtown
Comfort Hotel Tokyo Higashi Nihombashi,US$528,8.3,Very Good,"2,802 reviews",Double Room - Non-Smoking,4.9 km from downtown
plat hostel keikyu minowa forest,US$291,8.1,Very Good,"1,210 reviews",Double Room,7.2 km from downtown
FLEXSTAY INN Nakanobu,US$318,6.8,Review score,134 reviews,Economy Single Room - House Keeping is Optional with Additional Cost,9.5 km from downtown
Tama Ryokan,US$289,8.3,Very Good,480 reviews,Budget Double Room with Shared Bathroom,3.6 km from downtown
Resol Poshtel Tokyo Asakusa,US$305,9.4,Wonderful,"3,112 reviews",1 Cabin - Mixed,6.4 km from downtown
Sanco Inn Grande Tokyo Hamamatsucho,US$535,8.3,Very Good,536 reviews,Double Room - Non-Smoking,4.2 km from downtown
Hotel Tomariya Ueno,US$239,8.0,Very Good,"1,485 reviews",Standard Single Bed in Female Dormitory Room,5.6 km from downtown
APA Hotel Asakusa Tawaramachi Ekimae,US$469,8.1,Very Good,"6,637 reviews",Single Room - Non-Smoking,6.1 km from downtown
TOKYO EAST SIDE HOTEL KAIE,US$701,9.0,Wonderful,937 reviews,Hollywood Twin Room - Non-Smoking,8.5 km from downtown
Guest House Shinagawa-shuku,US$212,8.3,Very Good,683 reviews,Bed in 4-Bed Female Dormitory Room,7.2 km from downtown
The Gate Hotel Ryogoku by Hulic,US$589,9.1,Wonderful,"3,279 reviews",Standard Single Room with Shower - Non-Smoking,5.8 km from downtown
Hotel Moana Otsuka (Adult Only),US$410,7.9,Good,212 reviews,Small Double Room,5.2 km from downtown
remm Tokyo Kyobashi,US$704,8.6,Excellent,"3,664 reviews",Economy Double Room - Non-Smoking,3.8 km from downtown
Sotetsu Fresa Inn Shimbashi Hibiyaguchi,US$677,8.3,Very Good,"2,379 reviews",Double Room - Smoking,3.2 km from downtown
Hotel Grand City,US$505,7.7,Good,"2,701 reviews",Single Room - Non-Smoking,5.2 km from downtown
Hotel Villa Fontaine Tokyo-Kayabacho,US$574,8.0,Very Good,658 reviews,Room Selected at Check-In,4.9 km from downtown
Centurion Hotel Grand Akasakamitsuke Station,US$654,7.4,Good,"1,075 reviews",Standard Semi-Double Room -Non Smoking,1.3 km from downtown
Shinagawa Tobu Hotel,US$533,8.0,Very Good,"4,610 reviews",Economy Double Room with Small Double Bed - Non-Smoking,6.3 km from downtown
Daiichi Inn Ikebukuro,US$420,8.3,Very Good,463 reviews,Small Double Room,5.3 km from downtown
FLEXSTAY INN Shinagawa,US$406,7.6,Good,596 reviews,Single Room - Non-Smoking - House Keeping is Optional with Additional Cost,7.2 km from downtown
Tabist Hotel Florida Ikebukuro,US$265,6.4,Review score,192 reviews,Double Room - Non-Smoking,5.6 km from downtown
Shinjuku Kuyakusho-mae Capsule Hotel,US$226,6.4,Review score,"4,601 reviews",Special Offer - Capsule Room for Male - Non-Smoking,2.5 km from downtown
obi Hostel,US$231,8.0,Very Good,906 reviews,Bunk Bed in Mixed Dormitory Room,4.8 km from downtown
HOTEL AMANEK Kamata-Eki Mae,US$427,8.2,Very Good,"2,659 reviews",Standard Twin Room,13.7 km from downtown
APA Hotel Kanda Ekimae,US$544,8.0,Very Good,"1,759 reviews",Single Room - Non-Smoking,4 km from downtown
APA Hotel Shinagawa Sengakuji Ekimae,US$486,7.8,Good,"5,394 reviews",Single Room - Non-Smoking,5.4 km from downtown
APA Hotel Roppongi Ekimae,US$489,7.5,Good,"1,261 reviews",Single Room - Non-Smoking,2.6 km from downtown
Richmond Hotel Asakusa,US$655,8.5,Very Good,697 reviews,Single Room - Smoking,6.6 km from downtown
Hotel VARKIN,US$654,7.7,Good,"1,076 reviews",Standard Queen Room,5.5 km from downtown
Belken Hotel Kanda,US$550,8.8,Excellent,"4,418 reviews",Single Room - Non-Smoking,3.6 km from downtown
APA Hotel Kanda Jimbocho Ekihigashi,US$543,7.9,Good,"2,283 reviews",Single Room - Non-Smoking,3.1 km from downtown
Vessel Inn Ueno Iriya Ekimae,US$505,8.3,Very Good,273 reviews,Single Room - Non-Smoking,6.5 km from downtown
Cypressinn Tokyo,US$289,8.1,Very Good,365 reviews,Economy Double Room - Non-Smoking,12 km from downtown
Hotel Keihan Tokyo Yotsuya,US$731,8.3,Very Good,"2,960 reviews",Small Double Room - Non-Smoking,200 m from downtown
日本ワインバックパッカーズ,US$111,7.4,Good,5 reviews,Bunk Bed in Mixed Dormitory Room,6.9 km from downtown
APA Hotel Asakusa Kaminarimon Minami,US$469,8.4,Very Good,"2,202 reviews",Standard Single Room,6.5 km from downtown
Edo Tokyo Sharehouse,US$302,N/A,N/A,N/A,Single Bed in Mixed Dormitory Room,12.5 km from downtown
Sotetsu Fresa Inn Tokyo-Kyobashi,US$589,8.0,Very Good,"3,693 reviews",Double Room with Small Double Bed - Non-Smoking,4 km from downtown
HOTEL B-Girl,US$318,7.3,Good,17 reviews,Small Double Room,6.1 km from downtown
Sotetsu Fresa Inn Tokyo-Akasaka,US$511,8.7,Excellent,"2,704 reviews",Standard Double Room - Smoking,1.7 km from downtown
Sotetsu Fresa Inn Hamamatsucho-Daimon,US$647,8.1,Very Good,"1,799 reviews",Double Room - Smoking,3.7 km from downtown
Mercure Tokyo Haneda Airport,US$507,9.2,Wonderful,"1,988 reviews",Superior Room with One King Bed and Shower Booth - Non Smoking,15 km from downtown
Capsle Hatago Akasaka SPABLIC INN,US$300,8.7,Excellent,"2,050 reviews",Single Bed in Male Dormitory Room with Shared Bathroom,1.3 km from downtown
Hotel Opera,US$477,7.7,Good,124 reviews,Economy Double Room,3.4 km from downtown
Hotel New Shohei,US$546,8.1,Very Good,370 reviews,Single Room - Non-Smoking,150 m from downtown
Le Tour Hotel Akihabara Kanda 楽途ホテル神田秋葉原,US$413,7.5,Good,299 reviews,Double Room,4.5 km from downtown
Galois Hotel Shinokubo,US$676,8.7,Excellent,"1,121 reviews",Double Room,3.2 km from downtown
APA Hotel Hatchobori Ekiminami,US$465,7.8,Good,"1,265 reviews",Single Room - Non-Smoking,4.4 km from downtown
Capsule Hotel 310,US$129,7.5,Good,400 reviews,Capsule Room for Male,14.6 km from downtown
Hotel Villa Fontaine Tokyo-Jimbocho,US$533,8.2,Very Good,986 reviews,Room Selected at Check-In,2.9 km from downtown
Hotel Rakuragu,US$660,8.3,Very Good,166 reviews,Standard Queen Room,4.3 km from downtown
Do-c Shibuya Ebisu,US$204,7.0,Good,"2,892 reviews",Special Offer - Capsule Room for Male - Non-Smoking,4.6 km from downtown
Shinjuku Sky hostel,US$150,5.8,Review score,532 reviews,Bunk Bed in Female Dormitory Room,5.1 km from downtown
ibis Styles Tokyo Ginza,US$551,8.0,Very Good,872 reviews,Standard Single Room,3.6 km from downtown
Tokyo Guesthouse HIVE,US$181,8.0,Very Good,940 reviews,Bunk Bed in Mixed Dormitory Room,4.8 km from downtown
Chisun Inn Kamata,US$409,7.3,Good,"1,706 reviews",Standard Double Room - Non-Smoking,14 km from downtown
City Hotel Dolphin,US$497,6.0,Review score,237 reviews,Standard Double Room,3 km from downtown
HOTEL LiVEMAX Kamata Ekimae,US$365,7.0,Good,373 reviews,Double Room with Small Double Bed - Smoking,13.9 km from downtown
Dormy Inn Korakuen,US$383,8.5,Very Good,"1,454 reviews",Man’s Capsule-Up Stairs<Checkinn 5:00PM～>,3.5 km from downtown
Dormy Inn Ueno Okachimachi,US$669,8.4,Very Good,689 reviews,Single Room - Non-Smoking - No Daily Cleaning,4.9 km from downtown
Kuretake-Inn Tokyo Funabori,US$311,7.3,Good,577 reviews,Double Room - Smoking,12.1 km from downtown
Hotel Vista Tokyo Tsukiji,US$474,8.3,Very Good,"2,738 reviews",Moderate Single Room - A,4.1 km from downtown
Hyatt Regency Tokyo,"US$1,126",8.0,Very Good,"1,551 reviews",King Room,3.5 km from downtown
Via Inn Shinjuku,US$582,8.4,Very Good,"1,338 reviews",Double Room with Small Double Bed - Non-Smoking,2.2 km from downtown
Hotel Route-Inn Tokyo Asagaya,US$382,7.8,Good,781 reviews,Single Room - Smoking,8.8 km from downtown
ホテルグランフォート,US$437,5.0,Review score,16 reviews,Single Room,3.1 km from downtown
NADESHIKO HOTEL TOKYO Shibuya by unito Female-only,US$245,7.5,Good,983 reviews,Capsule Room - Female Only,4.8 km from downtown
SOTETSU GRAND FRESA TAKADANOBABA,US$664,8.8,Excellent,"1,747 reviews",Superior Double Room,3.7 km from downtown
APA Hotel Tokyo Ojima,US$426,7.6,Good,962 reviews,Single Room - Non-Smoking,8.3 km from downtown
Smile Hotel Tokyo Shinkoiwa,US$272,7.1,Good,953 reviews,Single Room - Non-Smoking,12.2 km from downtown
Hotel PRELE,US$155,7.6,Good,760 reviews,Single Bed in Female Dormitory Room,6.1 km from downtown
Super Hotel Premier Tokyo Station Yaesu-Chuoguchi,US$774,8.4,Very Good,"4,805 reviews",Standard Double Room - Non-Smoking,3.7 km from downtown
unito KURAMAE,US$376,7.2,Good,36 reviews,One-Bedroom Apartment,5.5 km from downtown
Good Diner Inn Copain,US$150,7.5,Good,404 reviews,Bunk Bed in Female Dormitory Room,5.5 km from downtown
HOTEL GRAPHY Shibuya,US$380,8.5,Very Good,"1,411 reviews",Single Bed in Mixed Dormitory Room,4.1 km from downtown
Hotel Villa Fontaine Grand Tokyo-Shiodome,US$786,8.4,Very Good,"3,048 reviews",Renewal Double Room - Non-Smoking,3.8 km from downtown
Hostel Lodging Tokyo Uguisudani,US$107,6.6,Review score,"1,221 reviews",Single Bed in Dormitory Room,6.1 km from downtown
Tokyu Stay Shimbashi - Ginza area,US$668,8.1,Very Good,"1,028 reviews",Smart Single Room - Non-Smoking,3.5 km from downtown
The OneFive Tokyo Kameido,US$494,8.0,Very Good,186 reviews,Standard Double Room with Small Double Bed - Smoking,8.8 km from downtown
Hotel Resol Ikebukuro,US$567,8.2,Very Good,"1,488 reviews",Compact Single Room - Smoking,4.7 km from downtown
Meguro Emperor (Adult Only),US$475,7.5,Good,355 reviews,Double Room,6.1 km from downtown
hostel DEN,US$289,8.1,Very Good,"1,222 reviews",Single Bed in Male Dormitory Room,4.3 km from downtown
Hotel Metropolitan Edmont Tokyo,US$704,8.8,Excellent,"2,528 reviews",Standard Single Room,2.4 km from downtown
APA Hotel Kamata Ekimae,US$407,7.8,Good,888 reviews,Single Room with Shower,13.8 km from downtown
APA Hotel Asakusa Kaminarimon,US$446,8.3,Very Good,"3,283 reviews",Single Room - Non-Smoking,6.5 km from downtown
APA Hotel Tokyo Itabashi Ekimae,US$400,7.3,Good,"1,742 reviews",Single Room - Non-Smoking,6.6 km from downtown
Hostel Chapter Two Tokyo,US$305,9.0,Wonderful,853 reviews,Single Pod - Mixed,6.6 km from downtown
Super Hotel Asakusa,US$536,8.2,Very Good,"2,511 reviews",Double Room - Non-Smoking,7 km from downtown
Meguroholic Hotel,US$602,7.8,Good,863 reviews,Standard Double Room - Smoking,5.9 km from downtown
Business Hotel Kankokukan - Vacation STAY 41182v,US$252,7.2,Good,34 reviews,Apartment,5.8 km from downtown
Anshin Oyado Shinjuku Ekimaeten,US$299,8.7,Excellent,"2,793 reviews",Single Bed in Male Dormitory Room,2.4 km from downtown
JR Kyushu Hotel Blossom Shinjuku,"US$1,271",8.8,Excellent,"5,688 reviews",Standard Double Room - Non-Smoking,2.8 km from downtown
Hotel Sunroute Asakusa,US$485,8.3,Very Good,"2,896 reviews",Single Room - Non-Smoking,6.3 km from downtown
Ace Inn Shinjuku,US$158,6.2,Review score,"1,156 reviews",Bunk Bed in Mixed Dormitory Room,0.9 km from downtown
Sakura Fleur Aoyama,US$621,8.1,Very Good,"2,343 reviews",Standard Single Room - Non-Smoking,3.6 km from downtown
MyCUBE by MYSTAYS Asakusa Kuramae,US$439,8.9,Excellent,"1,470 reviews",Capsule Room for Female  - House Keeping is Optional with Additional Cost,6 km from downtown
APA Hotel Nihombashi Bakurocho Ekikita,US$424,8.2,Very Good,"1,590 reviews",Single Room - Non-Smoking,4.7 km from downtown
APA Hotel Higashi Shinjuku Ekimae,US$479,7.5,Good,"1,729 reviews",Single Room - Non-Smoking,2.4 km from downtown
